"id","data.items[0].classification.scheme"
"09076ffc415e4d57ad7046aacc91b6e1","CPV"
"c274c07db3894dc889393ab93ce076ca","CPV"
"2e0aa33eff3a4071a3e267535ec3e1e6","CPV"
"50e3d6fa89124ee7a54a0ffe44bc0df7","CPV"
"89efe065b0dc48f38592c74f6ec74092","CPV"
"b572a559edab4b7da90dcc434b8f5e5f","CPV"
"3f70e5862e9e44bb85e5228dd6e92928","CPV"
"5abd7bfdd3a542dbbb4beca3925848bd","CPV"
"d945b04bb731476d86d400c8554280a1","CPV"
"0fed5f48b58a4d8292af640c6229c219","CPV"
"783552a7753748f08e2d0cb869e20e89","CPV"
"cb5e19f8da6841a9a0b1126473bada36","CPV"
"0b0553e0aab64864a9c9fd7d0dc334b2","CPV"
"e7d6f5fd6693498ba6bd30f2324925b9","CPV"
"597d731099184a98a38a895c5894debb","CPV"
"930f239bdd59410dba2e4b8aa32cbfbc","CPV"
"d0e268254fde4228acc1b03ffcf6818f","CPV"
"5c357a4aa51a41079831b28174a6e132","CPV"
"882e99b85dd6486dad34c5352da4e12c","CPV"
"bfade6f217174755889bff45efab557e","CPV"
"5b8ad241a58e499688cb96590c611402","CPV"
"0ebc045b7fd24d10ac729309bb8725cb","CPV"
"f3eae15ed72b4a9a9dc192d714387a2f","CPV"
"c2264bd2f84447379862df92014f7782","CPV"
"9564c9b9d920414b8027078e89c33c8c","CPV"
"c97cfc55f4f64cfcabbffb250bf59ed4","CPV"
"0fc1d8f2db8a42cc83d0066be41dcdcc","CPV"
"33066e5fad444802b9523134817b9bd8","CPV"
"9513f59f53ed434d9ab867265a6f0e07","CPV"
"239ed282388d4df3ae03554525b17ec4","CPV"
"bc8197f0260f483283ab68d8fe1db400","CPV"
"b8237e9393bf44ea982df4a24bbfbb99","CPV"
"e8286d31944b4f8bb3582233d78bfb20","CPV"
"d3e574ada69b46c49bf24c93a0bfaf18","CPV"
"87306e054e234fd3af85e7e8f1bec963","CPV"
"5a71cafd8ad8455e9246884a816fc110","CPV"
"e8080feb7f1e44f3913430780b32d42b","CPV"
"3d7b06e6de484ed0a8ae4d461b99f16d","CPV"
"e6e84ff3db4e40daabf8ae1db15a3f5a","CPV"
